# NKPT    61 NBND     8 NSPIN     1
# NPANEL     4
#      1   (0,0,0)/8
#     20   (4,0,4)/8
#     30   (4,2,6)/8
#     44   (4,4,4)/8
#     61   (0,0,0)/8
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     5
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/8"
@ XAXIS TICK     1,     0.78977
@ XAXIS TICKLABEL    1,"(4,0,4)/8"
@ XAXIS TICK     2,     1.18465
@ XAXIS TICKLABEL    2,"(4,2,6)/8"
@ XAXIS TICK     3,     1.74310
@ XAXIS TICKLABEL    3,"(4,4,4)/8"
@ XAXIS TICK     4,     2.42706
@ XAXIS TICKLABEL    4,"(0,0,0)/8"
@ WORLD      0.00000,        -0.9,     2.42706,         1.5
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.85165E+00  0.14446E-04  0.14446E-04  0.14446E-04  0.73018E+00  0.14899E+01  0.14899E+01  0.14899E+01
  0.41567E-01 -0.85121E+00 -0.18718E-02 -0.48508E-03 -0.48508E-03  0.73185E+00  0.14871E+01  0.14887E+01  0.14887E+01
  0.83133E-01 -0.84992E+00 -0.73913E-02 -0.19645E-02 -0.19645E-02  0.73687E+00  0.14788E+01  0.14852E+01  0.14852E+01
  0.12470E+00 -0.84780E+00 -0.16152E-01 -0.43676E-02 -0.43676E-02  0.74529E+00  0.14648E+01  0.14789E+01  0.14789E+01
  0.16627E+00 -0.84490E+00 -0.27578E-01 -0.76047E-02 -0.76047E-02  0.75706E+00  0.14456E+01  0.14699E+01  0.14699E+01
  0.20783E+00 -0.84129E+00 -0.41000E-01 -0.11558E-01 -0.11558E-01  0.77203E+00  0.14218E+01  0.14578E+01  0.14578E+01
  0.24940E+00 -0.83707E+00 -0.55737E-01 -0.16090E-01 -0.16090E-01  0.78985E+00  0.13950E+01  0.14431E+01  0.14431E+01
  0.29097E+00 -0.83235E+00 -0.71157E-01 -0.21049E-01 -0.21049E-01  0.81006E+00  0.13668E+01  0.14265E+01  0.14265E+01
  0.33253E+00 -0.82723E+00 -0.86711E-01 -0.26276E-01 -0.26276E-01  0.83212E+00  0.13388E+01  0.14087E+01  0.14087E+01
  0.37410E+00 -0.82186E+00 -0.10194E+00 -0.31616E-01 -0.31616E-01  0.85545E+00  0.13124E+01  0.13910E+01  0.13910E+01
