   2
BERILLIUM BULK                           E -2.9482248933561E+01 DE 2.0E-10(  5)
 BE -1.322132116444E+00  0.000000000000E+00  8.975000000000E-01  2.136040995192E-16  1.437686094527E-16  8.301337230833E-16
 BE -6.610660582221E-01 -1.145000000000E+00 -8.975000000000E-01 -2.136040995192E-16 -1.483945387220E-16 -8.208818645448E-16
   2
BERILLIUM BULK                           E -2.9483096552650E+01 DE 6.4E-11(  5)
 BE -1.312086654839E+00  0.000000000000E+00  8.891229921236E-01 -4.758345342937E-17 -8.361596537773E-17  7.678625271191E-16
 BE -6.560433274194E-01 -1.136300375057E+00 -8.891229921236E-01  4.758345342937E-17  7.899003610846E-17 -7.771143856577E-16
   2
BERILLIUM BULK                           E -2.9483738399681E+01 DE 1.3E-10(  5)
 BE -1.292360714571E+00  0.000000000000E+00  8.738311670642E-01 -1.439266287740E-16  2.133496407480E-17  4.859383312208E-17
 BE -6.461803572855E-01 -1.119217209671E+00 -8.738311670642E-01  1.439266287740E-16 -1.208310553626E-17 -5.784569166063E-17
   2
BERILLIUM BULK                           E -2.9483747100384E+01 DE-1.0E-08(  3)
 BE -1.292235768178E+00  0.000000000000E+00  8.747019390430E-01  4.182066526974E-17  5.075860362437E-17  1.062745782241E-15
 BE -6.461178840889E-01 -1.119109002921E+00 -8.747019390430E-01 -4.182066526974E-17 -5.075860362437E-17 -1.062745782241E-15
   2
BERILLIUM BULK                           E -2.9483775222373E+01 DE-5.3E-09(  3)
 BE -1.289591823581E+00  0.000000000000E+00  8.785801535867E-01 -2.052428055423E-16  2.538389129464E-18  1.849348410043E-15
 BE -6.447959117904E-01 -1.116819279734E+00 -8.785801535867E-01  1.959909470038E-16 -7.164318398735E-18 -1.849348410043E-15
   2
BERILLIUM BULK                           E -2.9483776402617E+01 DE 5.7E-09(  3)
 BE -1.288891421035E+00  0.000000000000E+00  8.786304019271E-01 -1.729118491917E-16  4.889925601006E-17  1.513645912723E-15
 BE -6.444457105177E-01 -1.116212713336E+00 -8.786304019271E-01  1.729118491917E-16 -5.352518527933E-17 -1.522897771262E-15
   2
BERILLIUM BULK                           E -2.9483736358040E+01 DE 3.3E-09(  3)
 BE -1.288736623914E+00  0.000000000000E+00  8.785501235131E-01 -3.450340058417E-17  1.426745997178E-16  2.043082725778E-15
 BE -6.443683119568E-01 -1.116078655097E+00 -8.785501235131E-01  2.987747131489E-17 -1.519264582564E-16 -2.043082725778E-15
   2
BERILLIUM BULK                           E -2.9482248933561E+01 DE 2.0E-10(  5)
 BE -1.322132116444E+00  2.313432777197E-17  8.975000000000E-01  2.786972573300E-16  1.250030638308E-16  1.187014387563E-15
 BE -6.610660582221E-01 -1.145000000000E+00 -8.975000000000E-01 -2.788725670229E-16 -1.285592917428E-16 -1.187014387563E-15
   2
BERILLIUM BULK                           E -2.9483096552649E+01 DE 6.5E-11(  5)
 BE -1.312086654840E+00  2.295855486813E-17  8.891229921219E-01  1.523892485405E-16 -1.992424340830E-17  1.206301129114E-15
 BE -6.560433274200E-01 -1.136300375058E+00 -8.891229921219E-01 -1.531896835253E-16  1.175987946917E-17 -1.206301129114E-15
   2
BERILLIUM BULK                           E -2.9483738399680E+01 DE 1.3E-10(  5)
 BE -1.292360714572E+00  2.261339543808E-17  8.738311670604E-01 -1.320618407961E-16 -1.147044118259E-17 -4.139917904301E-16
 BE -6.461803572861E-01 -1.119217209672E+00 -8.738311670604E-01  1.246100905575E-16  1.258912724022E-17  4.139917904301E-16
   2
BERILLIUM BULK                           E -2.9483747100384E+01 DE-1.0E-08(  3)
 BE -1.292235768178E+00  2.261120915821E-17  8.747019390411E-01 -1.165450070772E-16 -1.241502288578E-16 -6.218849875280E-17
 BE -6.461178840891E-01 -1.119109002921E+00 -8.747019390411E-01  1.193026547760E-16  1.252668762472E-16  5.293664021426E-17
   2
BERILLIUM BULK                           E -2.9483775222373E+01 DE-5.3E-09(  3)
 BE -1.289591823582E+00  2.256494609559E-17  8.785801535810E-01 -1.472407203621E-16  8.068842769968E-17  6.823264351452E-16
 BE -6.447959117912E-01 -1.116819279735E+00 -8.785801535810E-01  1.488966920986E-16 -9.577219563133E-17 -6.823264351452E-16
   2
BERILLIUM BULK                           E -2.9483776402616E+01 DE 5.7E-09(  3)
 BE -1.288891421036E+00  2.255269063195E-17  8.786304019271E-01  2.017979415831E-16 -1.513104154840E-16  9.432567063315E-16
 BE -6.444457105179E-01 -1.116212713337E+00 -8.786304019271E-01 -1.907453935988E-16  1.385393059874E-16 -9.340048477930E-16
   2
BERILLIUM BULK                           E -2.9483736358041E+01 DE 3.3E-09(  3)
 BE -1.288736623914E+00  2.254998203171E-17  8.785501235127E-01  3.740654886225E-17  7.656659299768E-18  8.133021359773E-16
 BE -6.443683119568E-01 -1.116078655097E+00 -8.785501235127E-01 -3.874344465766E-17 -1.117570315447E-17 -8.133021359773E-16
