  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4768124599869E+02 DE-6.3E-08(  9)
 C   0.000000000000E+00  2.782500000000E+00  1.526984000000E+00  2.081668171172E-16  7.494005416220E-16  3.742600734433E-03
 C   2.782500000000E+00  0.000000000000E+00 -1.526984000000E+00 -2.303712776097E-15 -1.998401444325E-15 -3.742600734419E-03
 O   0.000000000000E+00  2.782500000000E+00 -1.895614800000E+00  4.024558464266E-16  7.771561172376E-16 -2.393529598310E-02
 O   2.782500000000E+00  0.000000000000E+00  1.895614800000E+00 -5.551115123126E-16 -1.498801083244E-15  2.393529598308E-02
 N   8.119335000000E-01 -1.970566500000E+00  8.271944000000E-01 -4.786700450568E-03 -4.786700450565E-03  5.572981836958E-03
 N  -8.119335000000E-01  1.970566500000E+00  8.271944000000E-01  4.786700450569E-03  4.786700450566E-03  5.572981836962E-03
 N  -1.970566500000E+00 -8.119335000000E-01 -8.271944000000E-01 -4.786700450564E-03  4.786700450564E-03 -5.572981836958E-03
 N   1.970566500000E+00  8.119335000000E-01 -8.271944000000E-01  4.786700450566E-03 -4.786700450564E-03 -5.572981836958E-03
 H   1.432987500000E+00 -1.349512500000E+00  1.324166800000E+00 -6.833574012728E-03 -6.833574012729E-03 -6.470768104897E-03
 H  -1.432987500000E+00  1.349512500000E+00  1.324166800000E+00  6.833574012728E-03  6.833574012728E-03 -6.470768104897E-03
 H  -1.349512500000E+00 -1.432987500000E+00 -1.324166800000E+00 -6.833574012728E-03  6.833574012728E-03  6.470768104897E-03
 H   1.349512500000E+00  1.432987500000E+00 -1.324166800000E+00  6.833574012727E-03 -6.833574012727E-03  6.470768104896E-03
 H   8.019165000000E-01 -1.980583500000E+00 -1.779920000000E-01 -3.619518487411E-04 -3.619518487414E-04  9.021539892572E-03
 H  -8.019165000000E-01  1.980583500000E+00 -1.779920000000E-01  3.619518487407E-04  3.619518487416E-04  9.021539892573E-03
 H  -1.980583500000E+00 -8.019165000000E-01  1.779920000000E-01 -3.619518487394E-04  3.619518487423E-04 -9.021539892573E-03
 H   1.980583500000E+00  8.019165000000E-01  1.779920000000E-01  3.619518487409E-04 -3.619518487410E-04 -9.021539892573E-03
  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4768347983606E+02 DE 2.4E-09(  8)
 C   0.000000000000E+00  2.780525917357E+00  1.513535067268E+00  1.471045507628E-15  1.068589661202E-15  3.098424611073E-03
 C   2.780525917357E+00  0.000000000000E+00 -1.513535067268E+00 -1.498801083244E-15  1.082467449010E-15 -3.098424611071E-03
 O   0.000000000000E+00  2.780525917357E+00 -1.894656293842E+00  3.330669073875E-16  4.163336342344E-17  4.732732578400E-03
 O   2.780525917357E+00  0.000000000000E+00  1.894656293842E+00 -2.775557561563E-17 -8.881784197001E-16 -4.732732578418E-03
 N   8.000994220289E-01 -1.980426495328E+00  8.242515466368E-01  4.689466019860E-03  4.689466019868E-03 -3.772045715624E-03
 N  -8.000994220289E-01  1.980426495328E+00  8.242515466368E-01 -4.689466019861E-03 -4.689466019866E-03 -3.772045715626E-03
 N  -1.980426495328E+00 -8.000994220289E-01 -8.242515466368E-01  4.689466019866E-03 -4.689466019870E-03  3.772045715632E-03
 N   1.980426495328E+00  8.000994220289E-01 -8.242515466368E-01 -4.689466019866E-03  4.689466019868E-03  3.772045715630E-03
 H   1.414984407340E+00 -1.365541510017E+00  1.313892139744E+00 -5.524593946578E-04 -5.524593946593E-04 -1.421039631334E-03
 H  -1.414984407340E+00  1.365541510017E+00  1.313892139744E+00  5.524593946571E-04  5.524593946584E-04 -1.421039631334E-03
 H  -1.365541510017E+00 -1.414984407340E+00 -1.313892139744E+00 -5.524593946575E-04  5.524593946575E-04  1.421039631334E-03
 H   1.365541510017E+00  1.414984407340E+00 -1.313892139744E+00  5.524593946569E-04 -5.524593946573E-04  1.421039631334E-03
 H   7.924936161767E-01 -1.988032301180E+00 -1.710975346954E-01 -1.706316299736E-04 -1.706316299739E-04 -5.559668585815E-04
 H  -7.924936161767E-01  1.988032301180E+00 -1.710975346954E-01  1.706316299732E-04  1.706316299743E-04 -5.559668585813E-04
 H  -1.988032301180E+00 -7.924936161767E-01  1.710975346954E-01 -1.706316299718E-04  1.706316299749E-04  5.559668585813E-04
 H   1.988032301180E+00  7.924936161767E-01  1.710975346954E-01  1.706316299737E-04 -1.706316299739E-04  5.559668585815E-04
  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4768404575746E+02 DE-2.0E-08(  7)
 C   0.000000000000E+00  2.796507939811E+00  1.521595738226E+00 -4.579669976579E-16  1.360023205166E-15  2.393875363355E-03
 C   2.796507939811E+00  0.000000000000E+00 -1.521595738226E+00 -1.304512053935E-15 -1.887379141863E-15 -2.393875363348E-03
 O   0.000000000000E+00  2.796507939811E+00 -1.898896868068E+00 -1.221245327088E-15  2.498001805407E-16 -3.086835311965E-03
 O   2.796507939811E+00  0.000000000000E+00  1.898896868068E+00  4.718447854657E-16 -1.415534356397E-15  3.086835311954E-03
 N   8.025941393984E-01 -1.993913800412E+00  8.257714569454E-01  3.798488727047E-04  3.798488727105E-04 -8.995477115192E-06
 N  -8.025941393984E-01  1.993913800412E+00  8.257714569454E-01 -3.798488727056E-04 -3.798488727114E-04 -8.995477112972E-06
 N  -1.993913800412E+00 -8.025941393984E-01 -8.257714569454E-01  3.798488727091E-04 -3.798488727096E-04  8.995477116081E-06
 N   1.993913800412E+00  8.025941393984E-01 -8.257714569454E-01 -3.798488727083E-04  3.798488727100E-04  8.995477116525E-06
