# 0 [K coefficient in SI units, i.e. in W/m/K]
# Mu(eV) T(K) N(#carriers) K_xx K_xy K_xz K_yy K_yz K_zz
# T(K) = 300.000 Npoints =     301 V(cm^3) =  1.145E-21
  -5.140   300.000    1.406E+00    8.9061730E+01   -2.3076682E-06    1.0006519E-08    8.9061727E+01   -1.7331692E-08    8.6993676E+01
  -5.130   300.000    1.358E+00    8.7285284E+01   -1.6563761E-06    1.2565225E-08    8.7285283E+01   -2.1763506E-08    8.4654193E+01
  -5.120   300.000    1.309E+00    8.5552715E+01   -1.1871465E-06    1.4084847E-08    8.5552714E+01   -2.4395573E-08    8.2281244E+01
  -5.110   300.000    1.260E+00    8.3747691E+01   -8.4965502E-07    1.3964092E-08    8.3747690E+01   -2.4186426E-08    7.9866794E+01
  -5.100   300.000    1.210E+00    8.1746436E+01   -6.0730167E-07    1.2294445E-08    8.1746435E+01   -2.1294518E-08    7.7390636E+01
  -5.090   300.000    1.161E+00    7.9475113E+01   -4.3352909E-07    9.6819621E-09    7.9475112E+01   -1.6769568E-08    7.4822145E+01
  -5.080   300.000    1.112E+00    7.6942174E+01   -3.0910801E-07    6.9533411E-09    7.6942174E+01   -1.2043461E-08    7.2135648E+01
  -5.070   300.000    1.063E+00    7.4224960E+01   -2.2014307E-07    4.8801114E-09    7.4224960E+01   -8.4525240E-09    6.9322494E+01
  -5.060   300.000    1.015E+00    7.1425271E+01   -1.5661210E-07    3.9275415E-09    7.1425271E+01   -6.8026264E-09    6.6393406E+01
  -5.050   300.000    9.676E-01    6.8631787E+01   -1.1129931E-07    4.0904384E-09    6.8631787E+01   -7.0847750E-09    6.3378338E+01
  -5.040   300.000    9.212E-01    6.5909412E+01   -7.9018054E-08    4.9439852E-09    6.5909412E+01   -8.5631669E-09    6.0324838E+01
  -5.030   300.000    8.755E-01    6.3304992E+01   -5.6046117E-08    5.9056136E-09    6.3304992E+01   -1.0228765E-08    5.7288388E+01
  -5.020   300.000    8.307E-01    6.0852421E+01   -3.9716183E-08    6.5358567E-09    6.0852421E+01   -1.1320391E-08    5.4317249E+01
  -5.010   300.000    7.868E-01    5.8571778E+01   -2.8119567E-08    6.7157597E-09    5.8571778E+01   -1.1632008E-08    5.1442959E+01
  -5.000   300.000    7.437E-01    5.6464346E+01   -1.9892267E-08    6.6393428E-09    5.6464346E+01   -1.1499667E-08    4.8682262E+01
  -4.990   300.000    7.015E-01    5.4504929E+01   -1.4060765E-08    6.6320504E-09    5.4504929E+01   -1.1487055E-08    4.6045035E+01
