  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4997701572177E+02 DE-1.3E-09(  9)
 C   0.000000000000E+00  2.782500000000E+00  1.526984000000E+00  2.081668171172E-16  7.494005416220E-16 -7.801596847293E-03
 C   2.782500000000E+00  0.000000000000E+00 -1.526984000000E+00 -2.414735078560E-15 -2.026157019941E-15  7.801596847306E-03
 O   0.000000000000E+00  2.782500000000E+00 -1.895614800000E+00  4.024558464266E-16  7.771561172376E-16  1.651405544537E-02
 O   2.782500000000E+00  0.000000000000E+00  1.895614800000E+00 -6.106226635438E-16 -1.554312234475E-15 -1.651405544538E-02
 N   8.119335000000E-01 -1.970566500000E+00  8.271944000000E-01 -2.272833327805E-03 -2.272833327803E-03  1.646368334409E-03
 N  -8.119335000000E-01  1.970566500000E+00  8.271944000000E-01  2.272833327807E-03  2.272833327804E-03  1.646368334413E-03
 N  -1.970566500000E+00 -8.119335000000E-01 -8.271944000000E-01 -2.272833327802E-03  2.272833327801E-03 -1.646368334409E-03
 N   1.970566500000E+00  8.119335000000E-01 -8.271944000000E-01  2.272833327803E-03 -2.272833327803E-03 -1.646368334408E-03
 H   1.432987500000E+00 -1.349512500000E+00  1.324166800000E+00  4.716301021069E-03  4.716301021068E-03  1.799327998131E-03
 H  -1.432987500000E+00  1.349512500000E+00  1.324166800000E+00 -4.716301021069E-03 -4.716301021068E-03  1.799327998132E-03
 H  -1.349512500000E+00 -1.432987500000E+00 -1.324166800000E+00  4.716301021069E-03 -4.716301021068E-03 -1.799327998131E-03
 H   1.349512500000E+00  1.432987500000E+00 -1.324166800000E+00 -4.716301021070E-03  4.716301021069E-03 -1.799327998132E-03
 H   8.019165000000E-01 -1.980583500000E+00 -1.779920000000E-01 -2.076651231131E-04 -2.076651231134E-04 -9.001828155982E-03
 H  -8.019165000000E-01  1.980583500000E+00 -1.779920000000E-01  2.076651231127E-04  2.076651231137E-04 -9.001828155982E-03
 H  -1.980583500000E+00 -8.019165000000E-01  1.779920000000E-01 -2.076651231115E-04  2.076651231144E-04  9.001828155982E-03
 H   1.980583500000E+00  8.019165000000E-01  1.779920000000E-01  2.076651231129E-04 -2.076651231130E-04  9.001828155982E-03
  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4997832208813E+02 DE 1.6E-08(  7)
 C   0.000000000000E+00  2.775168456738E+00  1.521723116698E+00  2.053912595557E-15  1.082467449010E-15 -4.189340564242E-03
 C   2.775168456738E+00  0.000000000000E+00 -1.521723116698E+00 -4.163336342344E-16  2.498001805407E-16  4.189340564245E-03
 O   0.000000000000E+00  2.775168456738E+00 -1.886822710569E+00  2.775557561563E-17 -2.220446049250E-16  1.984387552680E-03
 O   2.775168456738E+00  0.000000000000E+00  1.886822710569E+00 -5.551115123126E-17 -2.220446049250E-16 -1.984387552691E-03
 N   8.119773018479E-01 -1.963191154890E+00  8.148173349033E-01 -1.203884950515E-03 -1.203884950508E-03  3.008681535972E-03
 N  -8.119773018479E-01  1.963191154890E+00  8.148173349033E-01  1.203884950516E-03  1.203884950508E-03  3.008681535970E-03
 N  -1.963191154890E+00 -8.119773018479E-01 -8.148173349033E-01 -1.203884950510E-03  1.203884950506E-03 -3.008681535965E-03
 N   1.963191154890E+00  8.119773018479E-01 -8.148173349033E-01  1.203884950509E-03 -1.203884950509E-03 -3.008681535967E-03
 H   1.438284467630E+00 -1.336883989108E+00  1.312038652164E+00  1.477014480149E-03  1.477014480148E-03 -7.648613277315E-04
 H  -1.438284467630E+00  1.336883989108E+00  1.312038652164E+00 -1.477014480150E-03 -1.477014480149E-03 -7.648613277308E-04
 H  -1.336883989108E+00 -1.438284467630E+00 -1.312038652164E+00  1.477014480149E-03 -1.477014480150E-03  7.648613277309E-04
 H   1.336883989108E+00  1.438284467630E+00 -1.312038652164E+00 -1.477014480150E-03  1.477014480150E-03  7.648613277309E-04
 H   7.989927570914E-01 -1.976175699647E+00 -1.982919654990E-01 -4.165807932524E-04 -4.165807932527E-04 -2.018091043771E-03
 H  -7.989927570914E-01  1.976175699647E+00 -1.982919654990E-01  4.165807932517E-04  4.165807932529E-04 -2.018091043771E-03
 H  -1.976175699647E+00 -7.989927570914E-01  1.982919654990E-01 -4.165807932506E-04  4.165807932534E-04  2.018091043771E-03
 H   1.976175699647E+00  7.989927570914E-01  1.982919654990E-01  4.165807932524E-04 -4.165807932524E-04  2.018091043771E-03
  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4997897539731E+02 DE-1.7E-08(  6)
 C   0.000000000000E+00  2.759976142701E+00  1.497829061866E+00  3.233524559221E-15  2.636779683485E-16 -1.468698198084E-03
 C   2.759976142701E+00  0.000000000000E+00 -1.497829061866E+00 -3.164135620182E-15  1.249000902703E-15  1.468698198087E-03
 O   0.000000000000E+00  2.759976142701E+00 -1.869222395344E+00  9.020562075079E-16 -8.326672684689E-17  7.132747112770E-05
 O   2.759976142701E+00  0.000000000000E+00  1.869222395344E+00 -2.498001805407E-16 -6.106226635438E-16 -7.132747114014E-05
 N   8.115518954409E-01 -1.948424247260E+00  7.942802119635E-01  3.870605199348E-04  3.870605199419E-04  1.034192737591E-03
 N  -8.115518954409E-01  1.948424247260E+00  7.942802119635E-01 -3.870605199383E-04 -3.870605199410E-04  1.034192737587E-03
 N  -1.948424247260E+00 -8.115518954409E-01 -7.942802119635E-01  3.870605199423E-04 -3.870605199476E-04 -1.034192737584E-03
 N   1.948424247260E+00  8.115518954409E-01 -7.942802119635E-01 -3.870605199405E-04  3.870605199445E-04 -1.034192737583E-03
