# NEPTS   102 NPROJ     4 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
  4.5333E-01  1.2425E+00  1.5877E+00  6.0209E-01  6.8647E+00
  4.6936E-01  1.1235E+00  1.4749E+00  5.5434E-01  6.3055E+00
  4.8538E-01  9.5447E-01  1.3695E+00  4.9937E-01  5.6468E+00
  5.0140E-01  7.6317E-01  1.2755E+00  4.4718E-01  4.9717E+00
  5.1743E-01  5.8280E-01  1.1939E+00  4.0944E-01  4.3724E+00
  5.3345E-01  4.4412E-01  1.1231E+00  3.9560E-01  3.9256E+00
  5.4947E-01  3.6650E-01  1.0588E+00  4.0800E-01  3.6665E+00
  5.6550E-01  3.4965E-01  9.9516E-01  4.3733E-01  3.5643E+00
  5.8152E-01  3.6907E-01  9.2667E-01  4.6047E-01  3.5124E+00
  5.9754E-01  3.7935E-01  8.4990E-01  4.4422E-01  3.3470E+00
  6.1357E-01  3.3103E-01  7.6603E-01  3.5990E-01  2.9139E+00
  6.2959E-01  2.0893E-01  6.8270E-01  2.1546E-01  2.2142E+00
  6.4561E-01  1.0182E-01  6.1489E-01  1.1424E-01  1.6619E+00
  6.6164E-01  1.7824E-01  5.5291E-01  1.3737E-01  1.7371E+00
  6.7766E-01  2.0648E-01  5.0213E-01  1.2956E-01  1.6763E+00
  6.9368E-01  1.7452E-01  4.7836E-01  1.3519E-01  1.5762E+00
  7.0971E-01  1.3191E-01  4.6740E-01  1.4502E-01  1.4887E+00
  7.2573E-01  8.7153E-02  4.6972E-01  1.5380E-01  1.4214E+00
  7.4175E-01  5.0740E-02  4.8150E-01  1.5499E-01  1.3745E+00
  7.5778E-01  3.1505E-02  4.9359E-01  1.4259E-01  1.3354E+00
  7.7380E-01  3.2386E-02  4.9179E-01  1.1360E-01  1.2756E+00
  7.8982E-01  4.6882E-02  4.5929E-01  7.0598E-02  1.1535E+00
  8.0585E-01  5.8488E-02  3.8273E-01  2.3688E-02  9.2982E-01
  8.2187E-01  4.6581E-02  2.6356E-01 -9.6590E-03  6.0097E-01
  8.3789E-01  3.7136E-03  1.3696E-01 -8.7802E-03  2.6378E-01
  8.5392E-01 -2.8794E-02  1.0003E-01  3.8462E-02  2.1939E-01
  8.6994E-01 -6.1761E-16  2.1455E-15  8.2499E-16  4.7057E-15
  8.8596E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
# EFERMI (HARTREE)   -0.09833
