# NKPT   120 NBND     9 NSPIN     1
# NPANEL     5
#      1   (0,0,0)/6
#     32   (0,3,0)/6
#     49   (0,3,3)/6
#     67   (*,4,3)/6
#     84   (*,4,0)/6
#    120   (0,0,0)/6
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     6
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/6"
@ XAXIS TICK     1,     0.83827
@ XAXIS TICKLABEL    1,"(0,3,0)/6"
@ XAXIS TICK     2,     1.30135
@ XAXIS TICKLABEL    2,"(0,3,3)/6"
@ XAXIS TICK     3,     1.78533
@ XAXIS TICKLABEL    3,"(*,4,3)/6"
@ XAXIS TICK     4,     2.24841
@ XAXIS TICKLABEL    4,"(*,4,0)/6"
@ XAXIS TICK     5,     3.21636
@ XAXIS TICKLABEL    5,"(0,0,0)/6"
@ WORLD      0.00000,        -4.6,     3.21636,         1.0
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.45545E+01 -0.45514E+01 -0.71163E+00 -0.30869E+00  0.17698E+00  0.86967E+00  0.86967E+00  0.91898E+00  0.91898E+00
  0.27041E-01 -0.45545E+01 -0.45514E+01 -0.71129E+00 -0.30803E+00  0.17683E+00  0.86504E+00  0.86562E+00  0.92222E+00  0.92323E+00
  0.54082E-01 -0.45545E+01 -0.45514E+01 -0.71028E+00 -0.30606E+00  0.17639E+00  0.85388E+00  0.85567E+00  0.92971E+00  0.93264E+00
  0.81123E-01 -0.45545E+01 -0.45515E+01 -0.70858E+00 -0.30276E+00  0.17564E+00  0.83924E+00  0.84273E+00  0.93845E+00  0.94277E+00
  0.10816E+00 -0.45544E+01 -0.45515E+01 -0.70616E+00 -0.29813E+00  0.17456E+00  0.82212E+00  0.82822E+00  0.94689E+00  0.95121E+00
  0.13521E+00 -0.45544E+01 -0.45515E+01 -0.70300E+00 -0.29214E+00  0.17313E+00  0.80279E+00  0.81277E+00  0.95432E+00  0.95685E+00
  0.16225E+00 -0.45544E+01 -0.45515E+01 -0.69907E+00 -0.28478E+00  0.17131E+00  0.78142E+00  0.79674E+00  0.95935E+00  0.96041E+00
  0.18929E+00 -0.45543E+01 -0.45515E+01 -0.69435E+00 -0.27602E+00  0.16907E+00  0.75822E+00  0.78036E+00  0.95881E+00  0.96501E+00
  0.21633E+00 -0.45543E+01 -0.45515E+01 -0.68882E+00 -0.26584E+00  0.16639E+00  0.73340E+00  0.76387E+00  0.95557E+00  0.96810E+00
  0.24337E+00 -0.45542E+01 -0.45515E+01 -0.68243E+00 -0.25420E+00  0.16322E+00  0.70721E+00  0.74749E+00  0.95005E+00  0.96974E+00
