  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4768445622352E+02 DE-6.2E-08(  9)
 C   2.500316443382E-12  2.824408528385E+00  1.504873118297E+00 -6.620967663018E-12 -2.306786706097E-11  5.125400421480E-05
 C   2.824408528385E+00  2.500222251456E-12 -1.504873118297E+00 -2.014677313866E-11 -5.830447236121E-11 -5.125400420392E-05
 O   2.500316443382E-12  2.824408528385E+00 -1.931773208650E+00 -2.339697879883E-12  4.580114065789E-12 -1.000693818280E-04
 O   2.824408528385E+00  2.500222251456E-12  1.931773208650E+00 -1.295416551805E-11 -2.073910487788E-11  1.000693818174E-04
 N   8.020461992615E-01 -2.022362329123E+00  8.036721690600E-01  3.010202575204E-06  3.010218827981E-06 -3.691494416769E-05
 N  -8.020461992615E-01  2.022362329123E+00  8.036721690600E-01 -3.010188992292E-06 -3.010172738627E-06 -3.691491531033E-05
 N  -2.022362329118E+00 -8.020461992565E-01 -8.036721690600E-01  3.010205447573E-06 -3.010175541718E-06  3.691491555768E-05
 N   2.022362329128E+00  8.020461992665E-01 -8.036721690600E-01 -3.010186123475E-06  3.010216019561E-06  3.691494392033E-05
 H   1.418667190329E+00 -1.405741338055E+00  1.286134857017E+00  2.483493464034E-05  2.483493466987E-05 -8.440786923303E-06
 H  -1.418667190329E+00  1.405741338055E+00  1.286134857017E+00 -2.483493012817E-05 -2.483493010064E-05 -8.440786092856E-06
 H  -1.405741338051E+00 -1.418667190325E+00 -1.286134857017E+00  2.483493366623E-05 -2.483493093264E-05  8.440785671526E-06
 H   1.405741338060E+00  1.418667190335E+00 -1.286134857017E+00 -2.483493110272E-05  2.483493384164E-05  8.440787343078E-06
 H   7.882157029135E-01 -2.036192825471E+00 -1.923378714090E-01  2.185622112461E-06  2.185623351580E-06  5.232585396975E-05
 H  -7.882157029135E-01  2.036192825471E+00 -1.923378714090E-01 -2.185620496142E-06 -2.185619258410E-06  5.232585401105E-05
 H  -2.036192825466E+00 -7.882157029085E-01  1.923378714090E-01  2.185621537198E-06 -2.185621607864E-06 -5.232585386672E-05
 H   2.036192825476E+00  7.882157029185E-01  1.923378714090E-01 -2.185621070960E-06  2.185621001793E-06 -5.232585411497E-05
