  16
UREA BULK BASE 6-21 + POLARIZATION       E -4.4768445622347E+02 DE-6.2E-08(  9)
 C  -3.593362046805E-16  2.824408530000E+00  1.504873119149E+00  6.800116025829E-16  5.023759186429E-15  5.125426862063E-05
 C   2.824408530000E+00 -6.271446761907E-16 -1.504873119149E+00 -1.665334536938E-16  3.885780586188E-16 -5.125426861730E-05
 O  -3.593362046805E-16  2.824408530000E+00 -1.931773209745E+00 -1.110223024625E-16 -1.137978600241E-15 -1.000705510101E-04
 O   2.824408530000E+00 -6.271446761907E-16  1.931773209745E+00  8.604228440845E-16  1.110223024625E-15  1.000705510101E-04
 N   8.020461997176E-01 -2.022362330282E+00  8.036721695152E-01  3.009970985346E-06  3.009970982681E-06 -3.691475014600E-05
 N  -8.020461997176E-01  2.022362330282E+00  8.036721695152E-01 -3.009970988899E-06 -3.009970988899E-06 -3.691475015177E-05
 N  -2.022362330282E+00 -8.020461997176E-01 -8.036721695152E-01  3.009970983570E-06 -3.009970984458E-06  3.691475014733E-05
 N   2.022362330282E+00  8.020461997176E-01 -8.036721695152E-01 -3.009970985346E-06  3.009970988010E-06  3.691475014644E-05
 H   1.418667191138E+00 -1.405741338862E+00  1.286134857746E+00  2.483458953817E-05  2.483458953839E-05 -8.441032156581E-06
 H  -1.418667191138E+00  1.405741338862E+00  1.286134857746E+00 -2.483458953817E-05 -2.483458953817E-05 -8.441032156803E-06
 H  -1.405741338862E+00 -1.418667191138E+00 -1.286134857746E+00  2.483458953795E-05 -2.483458954017E-05  8.441032155915E-06
 H   1.405741338862E+00  1.418667191138E+00 -1.286134857746E+00 -2.483458953884E-05  2.483458953750E-05  8.441032156137E-06
 H   7.882157033624E-01 -2.036192826638E+00 -1.923378715184E-01  2.185604888238E-06  2.185604888794E-06  5.232639708064E-05
 H  -7.882157033624E-01  2.036192826638E+00 -1.923378715184E-01 -2.185604888183E-06 -2.185604890181E-06  5.232639708042E-05
 H  -2.036192826638E+00 -7.882157033624E-01  1.923378715184E-01  2.185604889071E-06 -2.185604887517E-06 -5.232639708086E-05
 H   2.036192826638E+00  7.882157033624E-01  1.923378715184E-01 -2.185604888016E-06  2.185604888794E-06 -5.232639708086E-05
